## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /Users/yanjunzan/Documents/tobacco/bin/DNA_seq/mapped/4_FDSW190451996-1r_sort_index_rg.bam --OUTPUT /Users/yanjunzan/Documents/tobacco/bin/DNA_seq/mapped/4_FDSW190451996-1r_sort_index_rg_nodup.bam --METRICS_FILE /Users/yanjunzan/Documents/tobacco/bin/DNA_seq/dupstats/4_FDSW190451996-1r.picard.marked_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jul 22 18:27:13 CST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	99432	267	822	0	15	2	0,000151	380210121

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1,00002	99402	0	99404
2.0	1,999779	15	2	13
3.0	2,999276	0	0	0
4.0	3,998512	0	0	0
5.0	4,997486	0	0	0
6.0	5,9962	0	0	0
7.0	6,994652	0	0	0
8.0	7,992843	0	0	0
9.0	8,990773	0	0	0
10.0	9,988442	0	0	0
11.0	10,985851	0	0	0
12.0	11,982998	0	0	0
13.0	12,979885	0	0	0
14.0	13,976511	0	0	0
15.0	14,972876	0	0	0
16.0	15,968981	0	0	0
17.0	16,964826	0	0	0
18.0	17,96041	0	0	0
19.0	18,955734	0	0	0
20.0	19,950797	0	0	0
21.0	20,9456	0	0	0
22.0	21,940144	0	0	0
23.0	22,934427	0	0	0
24.0	23,92845	0	0	0
25.0	24,922213	0	0	0
26.0	25,915716	0	0	0
27.0	26,90896	0	0	0
28.0	27,901944	0	0	0
29.0	28,894668	0	0	0
30.0	29,887132	0	0	0
31.0	30,879338	0	0	0
32.0	31,871283	0	0	0
33.0	32,86297	0	0	0
34.0	33,854396	0	0	0
35.0	34,845564	0	0	0
36.0	35,836473	0	0	0
37.0	36,827122	0	0	0
38.0	37,817513	0	0	0
39.0	38,807644	0	0	0
40.0	39,797516	0	0	0
41.0	40,78713	0	0	0
42.0	41,776485	0	0	0
43.0	42,765581	0	0	0
44.0	43,754419	0	0	0
45.0	44,742998	0	0	0
46.0	45,731318	0	0	0
47.0	46,719381	0	0	0
48.0	47,707184	0	0	0
49.0	48,69473	0	0	0
50.0	49,682017	0	0	0
51.0	50,669046	0	0	0
52.0	51,655817	0	0	0
53.0	52,64233	0	0	0
54.0	53,628585	0	0	0
55.0	54,614582	0	0	0
56.0	55,600321	0	0	0
57.0	56,585803	0	0	0
58.0	57,571026	0	0	0
59.0	58,555993	0	0	0
60.0	59,540701	0	0	0
61.0	60,525152	0	0	0
62.0	61,509346	0	0	0
63.0	62,493282	0	0	0
64.0	63,476962	0	0	0
65.0	64,460383	0	0	0
66.0	65,443548	0	0	0
67.0	66,426456	0	0	0
68.0	67,409106	0	0	0
69.0	68,3915	0	0	0
70.0	69,373637	0	0	0
71.0	70,355517	0	0	0
72.0	71,33714	0	0	0
73.0	72,318507	0	0	0
74.0	73,299617	0	0	0
75.0	74,28047	0	0	0
76.0	75,261067	0	0	0
77.0	76,241408	0	0	0
78.0	77,221492	0	0	0
79.0	78,20132	0	0	0
80.0	79,180891	0	0	0
81.0	80,160207	0	0	0
82.0	81,139266	0	0	0
83.0	82,11807	0	0	0
84.0	83,096617	0	0	0
85.0	84,074909	0	0	0
86.0	85,052945	0	0	0
87.0	86,030725	0	0	0
88.0	87,008249	0	0	0
89.0	87,985518	0	0	0
90.0	88,962531	0	0	0
91.0	89,939289	0	0	0
92.0	90,915792	0	0	0
93.0	91,892039	0	0	0
94.0	92,86803	0	0	0
95.0	93,843767	0	0	0
96.0	94,819248	0	0	0
97.0	95,794475	0	0	0
98.0	96,769446	0	0	0
99.0	97,744163	0	0	0
100.0	98,718624	0	0	0

